"id_film";"titre";"annee"
4;"'Breaker' Morant";1980
5;"'burbs, The";1989
6;"'Crocodile' Dundee II";1988
7;"*batteries not included";1987
3;"...And Justice for All";1979
8;"10";1979
9;"10 Things I Hate About You";1999
10;"100 Girls";2000
869;"Carmichael, Sarah";NA
11;"101 Dalmatians";1996
12;"101 Reykjavík";2000
13;"102 Dalmatians";2000
15;"11'09''01 - September 11";2002
14;"11:14";2003
16;"12 Angry Men";1957
17;"13 Going on 30";2004
1520;"Egan, Susan";NA
18;"13th Warrior, The";1999
19;"1492: Conquest of Paradise";1992
20;"15 Minutes";2001
2074;"Gregoire, Celeste";NA
21;"16 Blocks";2006
5210;"Ubarry, Hechter";NA
22;"1776";1972
23;"1941";1979
443;"Beagle, E. Hampton";NA
24;"2 Days in the Valley";1996
25;"2 Fast 2 Furious";2003
26;"200 Cigarettes";1999
27;"20000 Leagues Under the Sea";1954
28;"2001: A Space Odyssey";1968
29;"2001: A Space Travesty";2000
226;"Andre, Caroline";NA
30;"2010";1984
31;"2046";2004
32;"21 Grams";2003
33;"24 Hour Party People";2002
1503;"Eccleston, Christopher";NA
34;"25th Hour";2002
1242;"Dawson, Rosario";NA
35;"28 Days";2000
36;"28 Days Later...";2002
38;"3 Men and a Little Lady";1990
39;"3 Ninjas";1992
40;"3 Ninjas: High Noon at Mega Mountain";1998
41;"3000 Miles to Graceland";2001
2648;"Jordan, Aubrey";NA
42;"36 Quai des Orfèvres";2004
43;"37°2 le matin";1986
44;"39 Steps, The";1935
45;"40 Days and 40 Nights";2002
46;"40 Year Old Virgin, The";2005
1293;"DeCicco, Elizabeth";NA
47;"42nd Street";1933
1987;"Glory, June";NA
48;"48 Hrs.";1982
50;"50 First Dates";2004
51;"51st State, The";2001
52;"54";1998
1970;"Giornofelice, Lina";NA
53;"5x2";2004
54;"6th Day, The";2000
55;"8 femmes";2002
56;"8 Heads in a Duffel Bag";1997
57;"8 Mile";2002
59;"8MM";1999
58;"8½";1963
5274;"Valli, Roberta";NA
60;"9 Songs";2004
64;"Abandon";2002
1491;"Dyson, Christopher";NA
2854;"Lamarche, Emily";NA
67;"Abominable Dr. Phibes, The";1971
68;"About a Boy";2002
2692;"Kahal, Maggie";NA
69;"About Adam";2000
70;"About Last Night...";1986
71;"About Schmidt";2002
72;"Above the Law";1988
2295;"Hoard, Michelle";NA
73;"Abre los ojos";1997
74;"Absence of Malice";1981
75;"Absolute Power";1997
76;"Abyss, The";1989
77;"Accepted";2006
4753;"St. Hilaire, Stephanie";NA
78;"Accidental Tourist, The";1988
79;"Accused, The";1988
80;"Ace Ventura: Pet Detective";1994
81;"Ace Ventura: When Nature Calls";1995
82;"Action Jackson";1988
83;"Adam's Rib";1949
3192;"March, Eve";NA
84;"Adams æbler";2005
85;"Adaptation.";2002
86;"Addams Family Values";1993
87;"Addams Family, The";1991
88;"Addicted to Love";1997
89;"Addiction, The";1995
92;"Adventures in Babysitting";1987
93;"Adventures of Baron Munchausen, The";1988
94;"Adventures of Bob & Doug McKenzie: Strange Brew, The";1983
95;"Adventures of Buckaroo Banzai Across the 8th Dimension, The";1984
96;"Adventures of Ford Fairlane, The";1990
2852;"Lala";NA
97;"Adventures of Pluto Nash, The";2002
98;"Adventures of Priscilla, Queen of the Desert, The";1994
99;"Adventures of Robin Hood, The";1938
5509;"Wisberg, Claude";NA
100;"Adventures of Rocky & Bullwinkle, The";2000
3589;"Nicksay, Lily";NA
101;"Adventures of Sharkboy and Lavagirl 3-D, The";2005
103;"Affair to Remember, An";1957
105;"Affliction";1997
106;"African Queen, The";1951
107;"After Hours";1985
108;"After the Sunset";2004
110;"Against All Odds";1984
111;"Against the Ropes";2004
2801;"Kraft, Mike";NA
112;"Age of Innocence, The";1993
113;"Agent Cody Banks";2003
114;"Agnes of God";1985
116;"Aguirre, der Zorn Gottes";1972
117;"Ai no corrida";1976
118;"Air America";1990
119;"Air Bud";1997
120;"Air Force One";1997
414;"Baskin, Elya";NA
121;"Airheads";1994
122;"Airplane II: The Sequel";1982
2942;"Leisure, David";NA
123;"Airplane!";1980
5632;"Zucker, Charlotte";NA
125;"Airport '77";1977
124;"Airport";1970
4448;"Seberg, Jean";NA
126;"Airport 1975";1974
127;"Akahige";1965
128;"Akeelah and the Bee";2006
4357;"Sanchez, Lauren";NA
129;"Akira";1988
5499;"Winant, Bruce";NA
130;"Aladdin";1992
131;"Alamo, The";1960
5468;"Widmark, Richard";NA
893;"Castro, Vincente";NA
1125;"Crabtree, Michael";NA
132;"Albino Alligator";1996
134;"Aleksandr Nevskiy";1938
135;"Alex & Emma";2003
136;"Alexander";2004
3583;"Ngamdee, Jaran";NA
139;"Alexis Zorbas";1964
140;"Alferd Packer: The Musical";1996
141;"Alfie";1966
142;"Ali";2001
3749;"Ortiz, Johnny";NA
2958;"Levine, Ted";NA
143;"Ali G Indahouse";2002
4820;"Stinton, Colin";NA
144;"Alice";1990
145;"Alice Doesn't Live Here Anymore";1974
146;"Alice in Wonderland";1951
147;"Alien";1979
148;"Alien Nation";1988
149;"Alien: Resurrection";1997
151;"Aliens";1986
150;"Alien³";1992
152;"Alive";1993
153;"All About Eve";1950
154;"All Dogs Go to Heaven";1989
155;"All of Me";1984
156;"All or Nothing";NA
157;"All Quiet on the Western Front";1930
158;"All That Jazz";1979
494;"Bennett, Rita";NA
159;"All the King's Men";1949
160;"All the President's Men";1976
5493;"Wills, Frank";NA
161;"All the Pretty Horses";2000
162;"All the Real Girls";2003
163;"All the Right Moves";1983
164;"Allan Quatermain and the Lost City of Gold";1987
170;"Almost Famous";2000
