"id_acteur";"acteur_nom";"acteur_prenom";"id_film"
763;"Davison";"Bruce";708
782;"Gaines";"Latham";727
1299;"Taylor";"Steven (I)";1275
1594;"Smith";"Chadd";1573
1968;"Ghosthawk";"Tony";1946
2173;"Kramer";"Todd (I)";2155
2353;"Woollan";"Troy";2354
3595;"Langley";"Frank";3629
3629;"Butcher";"Paul";3663
4123;"de Lancie";"John";4149
4132;"Tallman";"Chris";4159
4502;"Peterson";"Alan C.";4549
4602;"Conkle";"James";4647
4781;"Ne-Yo";NA;4824
5440;"Baumel";"Shane";5473
5582;"Callan";"Geoff";5628
5626;"Korsch";"Conrad";3487
5633;"Baldwin";"Greg";5072
6389;"Keltz";"Jonathan";708
6408;"Atfield";"Tyler";727
6920;"Fairman";"Michael";1275
7214;"Moler";"Pancho (I)";1573
7585;"Breuls";"Laurence";1946
7788;"Alexander";"Toby (I)";2155
7966;"Bradley";"David (IV)";2354
9191;"Johnson";"Donald (V)";3629
9225;"Kotsur";"Troy";3663
9714;"Raimi";"Ted";4149
9723;"Budds";"Matthew";4159
10090;"Helm";"Levon";4549
10190;"Goldsmith";"David (III)";4647
10368;"Alonso";"Laz";4824
11021;"Durand";"Kevin";5473
11163;"Norris";"Lee (I)";5628
11206;"Leigh";"Spenser";3487
11213;"Kelley";"Mikey";5072
11964;"Gibson";"Scott (I)";708
11982;"Harcourt";"Ian";727
12488;"Talbot";"David (I)";1275
12780;"Gil";"Ricardo (I)";1573
13146;"Baroo";"Eddie";1946
13346;"Dvoracek";"Zdenek";2155
13522;"Merchant";"Stephen";2354
14735;"Rasta";"Mighty";3629
14768;"Stoll";"Corey";3663
15252;"Cheadle";"Don";4149
15261;"Dunnigan";"Kyle";4159
15623;"Peña";"Michael";4549
15721;"Wilson";"R. Paul";4647
15898;"Ngaujah";"Michael";4824
16542;"Chon";"Arnold";5473
16684;"Stephenson";"Bob (II)";5628
16727;"McMillan";"Dan (II)";3487
16734;"Maxwell";"Jeremy";5072
17479;"Rossi";"Guido";708
17496;"Cook";"Brandon (IV)";727
17994;"Adams";"Steve (I)";1275
18284;"Jacobs";"Danny";1573
18646;"Steele";"Lawrence Cameron";1946
18844;"Novák";"Ivo (II)";2155
19019;"Pegg";"Simon";2354
20224;"Gooding Jr.";"Cuba";3629
20256;"Lenk";"Tom";3663
20733;"Chisholm";"Anthony";4149
20742;"Alazraqui";"Carlos";4159
21100;"McCrae";"Anthony";4549
21198;"Durand";"Kevin";4647
21375;"Freeman";"Khalid";4824
22017;"Gass";"Kyle";5473
22158;"Cox";"Brian (I)";5628
22200;"Harrison";"Kali";3487
22207;"Edgerly";"Chris";5072
22947;"Campbell";"Greg (I)";708
22964;"Brannigan";"Grace";727
23459;"Kwanten";"Ryan";1275
23746;"Albuquerque";"Philip";1573
24102;"Roberts";"David (I)";1946
24299;"Subrt";"Jiri";2155
24474;"Woodward";"Edward";2354
25673;"Levine";"Floyd";3629
25704;"Pellegrino";"Mark";3663
26179;"Nohilly";"Tommy";4149
26188;"Veach";"David";4159
26543;"Butler";"Tom (I)";4549
26640;"Garcia";"Andy (I)";4647
26816;"Williams";"Jermaine";4824
27453;"Izay";"Victor";5473
27593;"Schulze";"Paul";5628
27634;"Soulam";"Zak";3487
27641;"Mako (I)";NA;5072
28379;"Huband";"David (I)";708
28396;"Gaylyn";"James";727
28886;"Chepovetsky";"Dmitry";1275
29171;"Griffo";"Joseph S.";1573
29526;"Logue";"Donal";1946
29720;"Ulliel";"Gaspard";2155
29891;"Walton";"Tom Strode";2354
31081;"Wayans";"Marlon";3629
31111;"Rouse";"Eddie";3663
31579;"Sutherland";"Donald (I)";4149
31588;"Oswalt";"Patton";4159
31941;"Maharaj";"Darrin";4549
32036;"Armstrong";"Curtis";4647
32211;"White";"Brian J.";4824
32844;"Sklar";"Jason";5473
32982;"Francoeur";"Michel";5628
33023;"Morrison";"Matthew";3487
33030;"Baker";"Dee Bradley";5072
33763;"Lyons";"Mathew";708
33780;"Grieve";"Philip";727
34266;"Gunton";"Bob";1275
34549;"McDonald";"Kevin (I)";1573
34903;"Nolte";"Gibson";1946
35097;"Rogers";"Seon";2155
35267;"Frost";"Nick (I)";2354
36450;"St. Vil";"Yves Lola";3629
36480;"Kush";"Ka'ramuu";3663
36944;"Walton";"M.D.";4149
36953;"Wain";"David";4159
37303;"Markinson";"Brian";4549
37397;"Newton";"Wayne";4647
37570;"Brown";"Chris (XXV)";4824
38196;"Teutul Jr.";"Paul";5473
38333;"Mulroney";"Dermot";5628
38374;"Karson";"Jeremy";3487
38381;"Bennett";"Jeff (I)";5072
39108;"Phillippe";"Ryan";708
39125;"Wakefield";"Cameron";727
39607;"Gilchrist";"Keir";1275
39889;"Steele";"Nick";1573
40239;"Robles";"Fabio";1946
40433;"Navratil";"Mirek";2155
40599;"King";"Alexander (V)";2354
41769;"Reid";"Austin (I)";3629
41799;"Lerman";"Logan";3663
42259;"Klein";"Robert (I)";4149
42268;"Rudd";"Paul (I)";4159
42616;"Glover";"Danny";4549
42710;"Fisher";"George (III)";4647
42880;"Thomas";"Roderick";4824
43497;"Pinsky";"Drew";5473
43632;"Terry";"John (I)";5628
43673;"Bacon";"Nick";3487
43680;"Robinson";"Paul Michael";5072
44402;"Watton";"Jonathan";708
44419;"Gibbons";"Matt";727
44895;"Wahlberg";"Donnie";1275
45175;"Whatley";"David";1573
45521;"Young";"Duncan (I)";1946
45714;"Kulhavy";"Milos";2155
45879;"Cranham";"Kenneth";2354
47033;"Powell";"Clifton";3629
47063;"Carrey";"Jim";3663
47516;"Young";"Neal (II)";4149
47525;"Koechner";"David";4159
47872;"Gray";"Mackenzie";4549
47965;"Woodley";"Al";4647
48133;"Lennix";"Harry J.";4824
48743;"Lockwood";"Billy";5473
48875;"Goldberg";"Adam (I)";5628
48914;"Antoon";"Jason";3487
48921;"Maratos";"Terry";5072
49639;"Cooper";"Chris (I)";708
49656;"Mills";"Hudson";727
50127;"Heney";"Joan";1275
50405;"Gil";"Arturo";1573
50747;"Barry";"Peter (IV)";1946
50940;"Kulhavy";"Vladimir";2155
51104;"Wilson";"Stuart (II)";2354
52246;"De'Antone";"Marc";3629
52276;"Hurley";"Michael (III)";3663
52728;"Butler";"Paul (I)";4149
52737;"Holoubek";"Todd";4159
53081;"McKenzie";"Dean";4549
53173;"Henderson";"Martin (I)";4647
53339;"Velez";"Ivan 'Flipz'";4824
53942;"Teutul Sr.";"Paul";5473
54073;"McCormack";"J. Patrick";5628
54111;"Torres";"Lou";3487
54118;"Randolph";"David";5072
54829;"Whittaker";"Jonathon";708
54846;"Hutcherson";"Josh";727
55314;"Peterson";"Shelley";1275
55591;"Killam";"Taran";1573
55930;"Sexton";"Hugh";1946
56122;"Ifans";"Rhys";2155
56283;"Jackson";"Peter (I)";2354
57417;"Griffin";"Eddie";3629
57447;"Willrich";"Rudolph";3663
57895;"Taylor";"Nick (I)";4149
57904;"Molale";"Brandon";4159
58245;"Neale";"David (I)";4549
58334;"Edgerton";"Joel";4647
58500;"Louis";"Allan (I)";4824
59097;"Janes";"Dominic";5473
59226;"Winston";"Matt (I)";5628
59263;"Ciesla";"Michael";3487
59270;"Whitfield";"Mitchell";5072
59969;"Barnett";"Tom (I)";708
59986;"Lawless";"Elliot";727
60445;"Valletta";"Amber";1275
60719;"Gieb";"Joe";1573
61057;"Hughes";"Bruce (I)";1946
61247;"Thomas";"Aaron (III)";2155
61407;"McKay";"Ben";2354
62526;"Bell";"Donald (II)";3629
62556;"Huston";"Danny";3663
63002;"Brigockas";"Chad";4149
63011;"Plotnick";"Jack";4159
63351;"Louis";"Justin (I)";4549
63440;"Bloom";"Scott (I)";4647
63606;"Best";"Oliver Ryan";4824
64198;"Tobolowsky";"Stephen";5473
64325;"Smith";"David Lee (I)";5628
64362;"Scott";"Campbell (I)";3487
64369;"Di Maggio";"John";5072
65060;"Haysbert";"Dennis";708
65077;"Patrick";"Robert (I)";727
65528;"Regan";"Laura (I)";1275
65799;"Hilgenbrink";"Tad";1573
66135;"Jones";"Marcus (III)";1946
66324;"Hampl";"Ladislav";2155
66483;"Bailey";"Bill (IV)";2354
67589;"Murphy";"Eddie (I)";3629
67619;"Hoyt";"Kerry";3663
68059;"Sandler";"Adam (I)";4149
68068;"Lo Truglio";"Joe";4159
68400;"Koteas";"Elias";4549
68489;"Rudulph";"Ken";4647
68654;"Vaughn";"Tony";4824
69240;"Fonda";"Peter (I)";5473
69365;"Edwards";"Anthony (I)";5628
69401;"Garrett";"Brad (I)";3487
69408;"Tatasciore";"Fred";5072
70090;"Bedford";"Bart";708
70107;"Robb";"AnnaSophia";727
70552;"Roberts";"Judith (I)";1275
70820;"Willard";"Fred";1573
71155;"Cox";"Richard Ian";1946
71343;"Bettenfeld";"Dominique";2155
71499;"Low";"Graham";2354
72591;"Kennedy";"Taylor";3629
72621;"Lauter";"Ed";3663
73060;"Peet";"Harris";4149
73069;"Hoback";"Michael";4159
73395;"Reis";"Shawn";4549
73481;"Kulich";"Vladimir";4647
73643;"Martyn";"Richmond Duain";4824
74222;"Pennington";"Ty";5473
74346;"Setrakian";"Ed";5628
74381;"Stewart Sherman";"Daniel";3487
74388;"Michie";"David";5072
75059;"Stevens";"Courtenay J.";708
75075;"Wood";"Devon";727
75778;"Campbell";"Adam (IV)";1573
76109;"Frederiksen";"Daniel";1946
76297;"Marevich";"Ivan";2155
76452;"Wight";"Peter";2354
77533;"Henderson";"Lonnie (II)";3629
77563;"Stifel";"David";3663
77995;"Novak";"B.J.";4149
78004;"Holmes";"Dave";4159
78324;"Beatty";"Ned";4549
78409;"Miller";"P. David";4647
78571;"Sway";NA;4824
79144;"Warden";"Taylor";5473
79264;"Carraway";"James";5628
79299;"Wyatt";"Andrew (I)";3487
79306;"Fishburne";"Laurence";5072
79968;"Gemael";"Elie";708
79984;"Butler";"Kate (II)";727
80677;"Alvarez";"George (III)";1573
81005;"Garber";"Charlie";1946
81190;"Hnetkovsky";"Petr";2155
81342;"Lowings";"Rory";2354
82415;"Vossler";"Michael";3629
82445;"Amerson";"Coier";3663
82872;"Banks";"Jonathan";4149
82881;"Huss";"Toby";4159
83196;"MacDonald";"Mac";4549
83281;"Murray";"Christopher";4647
83439;"Riggs";"Sean";4824
84006;"Miller";"Mike (XIII)";5473
84124;"Lacy";"John (I)";5628
84159;"Butler";"Ben (II)";3487
84166;"Cummings";"Jim (I)";5072
84821;"O'Neill";"David Christopher";708
84837;"Kircher";"Isabelle Rose";727
85518;"Van Tassel";"Thomas";1573
85841;"Johnson";"Ryan (I)";1946
86019;"Houben";"Jos";2155
86167;"Freeman";"Paul (I)";2354
87232;"Vossler";"Travis";3629
87260;"Fink";"John (I)";3663
87680;"Harvey";"Robert (I)";4149
87689;"Loftin";"Lennie";4159
88002;"Wahlberg";"Mark (I)";4549
88086;"Alston";"John";4647
88243;"Perez";"Jonathan 'Legacy'";4824
88801;"Liotta";"Ray";5473
88918;"Koteas";"Elias";5628
88951;"Griffith";"Billy (II)";3487
88958;"Richardson";"Kevin Michael";5072
89604;"Eldridge";"Craig";708
89619;"Fenton";"Emma (II)";727
90289;"Belgrade";"Darko";1573
90605;"Bentley";"Wes";1946
90778;"Igonda";"Marko";2155
90924;"Barlow";"Tim";2354
91975;"Gant";"Richard";3629
