auteur,statut,institution,ville,pays
Pierre-Marc Brousseau,NA,Universite du Quebec a Montreal,Montreal,Canada
Dominique Gravel,Professor,Universite de Sherbrooke,Sherbrooke,Canada
I. Tanya Handa,NA,Universite du Quebec a Montreal,Montreal,Canada
Idaline Laigle,NA,Universite de Sherbrooke,Sherbrooke,Canada
Isabelle Aubin,Professor,Natural Resources Canada,Sault Ste Marie,Canada
Christoph Digel,NA,University of Gottingen,Gottingen,Germany
Ulrich Brose,NA,Centre for Integrative Biodiversity Research,Leipzig,Germany
Isabelle Boulangeat,Professor,Universite Grenoble Alpes,Grenoble,France
Jake J. Grossman,NA,University of Minnesota,Minnesota,USA
Margot Vanhellemont,NA,Ghent University,Melle-Gontrode,Belgium
Nadia Barsoum,NA,Forest Research,Farnham,UK
Jürgen Bauhus,NA,University of Freiburg,Freiburg,Germany
Helge Bruelheide,NA,German Centre for Integrative Biodiversity Research,Leipzig,Germany
Bastien Castagneyrol,NA,INRA,Bordeaux,France
Jeannine Cavender-Bares,NA,University of Minnesota,Minnesota,USA
Nico Eisenhauer,NA,German Centre for Integrative Biodiversity Research,Leipzig,Germany
Olga Ferlian,NA,German Centre for Integrative Biodiversity Research,Leipzig,Germany
Andy Hector,NA,University of Oxford,Oxford,UK
Hervé Jactel,NA,INRA,Bordeaux,France
Holger Kreft,NA,University of Goettingen,Gottingen,Germany
Simone Mereu,NA,University of Sassari,Sassari,Italy
Christian Messier,NA,Universite du Quebec a Montreal,Montreal,Canada
Bart Muys,NA,University of Leuven,Leuven,Belgium
Charles Nock,NA,University of Freiburg,Freiburg,Germany
Alain Paquette,NA,Universite du Quebec a Montreal,Montreal,Canada
John Parker,NA,Smithsonian Environmental Research Center,Edgewater,USA
Michael P. Perring,NA,Ghent University,Melle-Gontrode,Belgium
Quentin Ponette,NA,University of Louvain,Louvain-la-Neuve,Belgium
Peter B. Reich,NA,University of Minnesota,Minnesota,USA
Andreas Schuldt,NA,Martin Luther University Halle-Wittenberg,Halle,Germany
Michael Staab,NA,University of Freiburg,Freiburg,Germany
Martin Weih,NA,Swedish University of Agricultural Sciences,Uppsala,Sweden
Delphine Clara Zemp,NA,University of Gottingen,Gottingen,Germany
Michael Scherer-Lorenzen,NA,University of Freiburg,Freiburg,Germany
Kris Verheyen,NA,Ghent University,Melle-Gontrode,Belgium
Eva Delmas,Student,Universite de Montreal,Montreal,Canada
Mathilde Besson,Student,Universite de Montreal,Montreal,Canada
Marie-Hélène Brice,Student,Universite de Montreal,Montreal,Canada
Laura A. Burkle,NA,Montana State University,Bozeman,USA
Giulio V. Dalla Riva,NA,University of British Columbia,Vancouver,Canada
Marie-Josée Fortin,Professor,University of Toronto,Toronto,Canada
Paulo R. Guimarães Jr,Professor,Universidade de Sao Paulo,Sao Paulo,Brazil
David H. Hembry,NA,University of Arizona,Tucson,USA
Erica A. Newman,NA,University of Arizona,Tucson,USA
Jens M. Olesen,NA,Aarhus University,Aarhus,Denmark
Mathias M. Pires,Professor,Universidade Estadual de Campinas,Campinas,Brazil
Justin D. Yeakel,NA,University of California Merced,Merced,USA
Timothée Poisot,Professor,Universite de Montreal,Montreal,Canada
Pierre Legagneux,NA,Universite du Quebec a Rimouski,Rimouski,Canada
Nicolas Casajus,NA,Universite du Quebec a Rimouski,Rimouski,Canada
Kevin Cazelles,ECR,University of Guelph,Guelph,Canada
Clément Chevallier,NA,Universite du Quebec a Rimouski,Rimouski,Canada
Marion Chevrinais,NA,Universite du Quebec a Rimouski,Rimouski,Canada
Lorelei Guéry,NA,Universite du Quebec a Rimouski,Rimouski,Canada
Claire Jacquet,NA,Universite de Sherbrooke,Sherbrooke,Canada
Mikael Jaffré,NA,Universite du Quebec a Rimouski,Rimouski,Canada
