"auteur1","auteur2","articleID"
"Dominique Gravel","Pierre-Marc Brousseau","Brousseau2018b"
"I. Tanya Handa","Pierre-Marc Brousseau","Brousseau2018b"
"Pierre-Marc Brousseau","Dominique Gravel","Brousseau2018b"
"I. Tanya Handa","Dominique Gravel","Brousseau2018b"
"Pierre-Marc Brousseau","I. Tanya Handa","Brousseau2018b"
"Dominique Gravel","I. Tanya Handa","Brousseau2018b"
"Isabelle Aubin","Idaline Laigle","Laigle2018"
"Christoph Digel","Idaline Laigle","Laigle2018"
"Ulrich Brose","Idaline Laigle","Laigle2018"
"Isabelle Boulangeat","Idaline Laigle","Laigle2018"
"Dominique Gravel","Idaline Laigle","Laigle2018"
"Idaline Laigle","Isabelle Aubin","Laigle2018"
"Christoph Digel","Isabelle Aubin","Laigle2018"
"Ulrich Brose","Isabelle Aubin","Laigle2018"
"Isabelle Boulangeat","Isabelle Aubin","Laigle2018"
"Dominique Gravel","Isabelle Aubin","Laigle2018"
"Idaline Laigle","Christoph Digel","Laigle2018"
"Isabelle Aubin","Christoph Digel","Laigle2018"
"Ulrich Brose","Christoph Digel","Laigle2018"
"Isabelle Boulangeat","Christoph Digel","Laigle2018"
"Dominique Gravel","Christoph Digel","Laigle2018"
"Idaline Laigle","Ulrich Brose","Laigle2018"
"Isabelle Aubin","Ulrich Brose","Laigle2018"
"Christoph Digel","Ulrich Brose","Laigle2018"
"Isabelle Boulangeat","Ulrich Brose","Laigle2018"
"Dominique Gravel","Ulrich Brose","Laigle2018"
"Idaline Laigle","Isabelle Boulangeat","Laigle2018"
"Isabelle Aubin","Isabelle Boulangeat","Laigle2018"
"Christoph Digel","Isabelle Boulangeat","Laigle2018"
"Ulrich Brose","Isabelle Boulangeat","Laigle2018"
"Dominique Gravel","Isabelle Boulangeat","Laigle2018"
"Idaline Laigle","Dominique Gravel","Laigle2018"
"Isabelle Aubin","Dominique Gravel","Laigle2018"
"Christoph Digel","Dominique Gravel","Laigle2018"
"Ulrich Brose","Dominique Gravel","Laigle2018"
"Isabelle Boulangeat","Dominique Gravel","Laigle2018"
"Margot Vanhellemont","Jake J. Grossman","grossman2018"
"Nadia Barsoum","Jake J. Grossman","grossman2018"
"Jürgen Bauhus","Jake J. Grossman","grossman2018"
"Helge Bruelheide","Jake J. Grossman","grossman2018"
"Bastien Castagneyrol","Jake J. Grossman","grossman2018"
"Jeannine Cavender-Bares","Jake J. Grossman","grossman2018"
"Nico Eisenhauer","Jake J. Grossman","grossman2018"
"Olga Ferlian","Jake J. Grossman","grossman2018"
"Dominique Gravel","Jake J. Grossman","grossman2018"
"Andy Hector","Jake J. Grossman","grossman2018"
"Hervé Jactel","Jake J. Grossman","grossman2018"
"Holger Kreft","Jake J. Grossman","grossman2018"
"Simone Mereu","Jake J. Grossman","grossman2018"
"Christian Messier","Jake J. Grossman","grossman2018"
"Bart Muys","Jake J. Grossman","grossman2018"
"Charles Nock","Jake J. Grossman","grossman2018"
"Alain Paquette","Jake J. Grossman","grossman2018"
"John Parker","Jake J. Grossman","grossman2018"
"Michael P. Perring","Jake J. Grossman","grossman2018"
"Quentin Ponette","Jake J. Grossman","grossman2018"
"Peter B. Reich","Jake J. Grossman","grossman2018"
"Andreas Schuldt","Jake J. Grossman","grossman2018"
"Michael Staab","Jake J. Grossman","grossman2018"
"Martin Weih","Jake J. Grossman","grossman2018"
"Delphine Clara Zemp","Jake J. Grossman","grossman2018"
"Michael Scherer-Lorenzen","Jake J. Grossman","grossman2018"
"Kris Verheyen","Jake J. Grossman","grossman2018"
"Jake J. Grossman","Margot Vanhellemont","grossman2018"
"Nadia Barsoum","Margot Vanhellemont","grossman2018"
"Jürgen Bauhus","Margot Vanhellemont","grossman2018"
"Helge Bruelheide","Margot Vanhellemont","grossman2018"
"Bastien Castagneyrol","Margot Vanhellemont","grossman2018"
"Jeannine Cavender-Bares","Margot Vanhellemont","grossman2018"
"Nico Eisenhauer","Margot Vanhellemont","grossman2018"
"Olga Ferlian","Margot Vanhellemont","grossman2018"
"Dominique Gravel","Margot Vanhellemont","grossman2018"
"Andy Hector","Margot Vanhellemont","grossman2018"
"Hervé Jactel","Margot Vanhellemont","grossman2018"
"Holger Kreft","Margot Vanhellemont","grossman2018"
"Simone Mereu","Margot Vanhellemont","grossman2018"
"Christian Messier","Margot Vanhellemont","grossman2018"
"Bart Muys","Margot Vanhellemont","grossman2018"
"Charles Nock","Margot Vanhellemont","grossman2018"
"Alain Paquette","Margot Vanhellemont","grossman2018"
"John Parker","Margot Vanhellemont","grossman2018"
"Michael P. Perring","Margot Vanhellemont","grossman2018"
"Quentin Ponette","Margot Vanhellemont","grossman2018"
"Peter B. Reich","Margot Vanhellemont","grossman2018"
