"","site_id","taxa_name","date_obs"
"354",1,"Aeorestes cinereus","2021-06-18"
"355",1,"Aeorestes cinereus","2021-08-11"
"356",1,"Aeorestes cinereus","2021-08-06"
"357",1,"Aeorestes cinereus","2021-06-01"
"358",1,"Aeorestes cinereus","2021-08-08"
"359",1,"Aeorestes cinereus","2021-08-11"
"360",1,"Aeorestes cinereus","2021-08-10"
"361",1,"Aeorestes cinereus","2021-07-02"
"362",1,"Aeorestes cinereus","2021-06-25"
"363",1,"Aeorestes cinereus","2021-08-04"
"364",1,"Aeorestes cinereus","2021-08-11"
"365",1,"Aeorestes cinereus","2021-05-26"
"366",1,"Aeorestes cinereus","2021-08-11"
"367",1,"Aeorestes cinereus","2021-06-17"
"368",1,"Aeorestes cinereus","2021-09-11"
"369",1,"Aeorestes cinereus","2021-06-06"
"370",1,"Aeorestes cinereus","2021-08-05"
"371",1,"Aeorestes cinereus","2021-06-25"
"372",1,"Aeorestes cinereus","2021-07-19"
"373",1,"Aeorestes cinereus","2021-07-03"
"374",1,"Aeorestes cinereus","2021-08-06"
"375",1,"Aeorestes cinereus","2021-08-09"
"376",1,"Aeorestes cinereus","2021-06-08"
"377",1,"Aeorestes cinereus","2021-06-19"
"378",1,"Aeorestes cinereus","2021-06-07"
"379",1,"Aeorestes cinereus","2021-08-10"
"380",1,"Aeorestes cinereus","2021-08-09"
"381",1,"Aeorestes cinereus","2021-09-17"
"382",1,"Aeorestes cinereus","2021-06-14"
"383",1,"Aeorestes cinereus","2021-08-08"
"384",1,"Aeorestes cinereus","2021-08-19"
"385",1,"Aeorestes cinereus","2021-05-27"
"386",1,"Aeorestes cinereus","2021-08-11"
"387",1,"Aeorestes cinereus","2021-06-12"
"388",1,"Aeorestes cinereus","2021-08-11"
"389",1,"Aeorestes cinereus","2021-08-09"
"390",1,"Aeorestes cinereus","2021-08-06"
"391",1,"Aeorestes cinereus","2021-08-07"
"392",1,"Aeorestes cinereus","2021-06-13"
"393",1,"Aeorestes cinereus","2021-07-07"
"394",1,"Aeorestes cinereus","2021-05-31"
"395",1,"Aeorestes cinereus","2021-06-18"
"396",1,"Aeorestes cinereus","2021-08-21"
"397",1,"Aeorestes cinereus","2021-08-09"
"398",1,"Aeorestes cinereus","2021-07-14"
"399",1,"Aeorestes cinereus","2021-06-26"
"400",1,"Aeorestes cinereus","2021-08-12"
"401",1,"Aeorestes cinereus","2021-06-09"
"402",1,"Aeorestes cinereus","2021-06-14"
"403",1,"Aeorestes cinereus","2021-06-14"
"404",1,"Aeorestes cinereus","2021-06-09"
"405",1,"Aeorestes cinereus","2021-09-17"
"406",1,"Aeorestes cinereus","2021-06-20"
"407",1,"Aeorestes cinereus","2021-06-29"
"408",1,"Aeorestes cinereus","2021-06-14"
"409",1,"Aeorestes cinereus","2021-05-30"
"410",1,"Aeorestes cinereus","2021-06-02"
"411",1,"Aeorestes cinereus","2021-07-27"
"412",1,"Aeorestes cinereus","2021-06-22"
"413",1,"Aeorestes cinereus","2021-08-10"
"414",1,"Aeorestes cinereus","2021-08-06"
"415",1,"Aeorestes cinereus","2021-07-18"
"416",1,"Aeorestes cinereus","2021-07-18"
"417",1,"Aeorestes cinereus","2021-07-18"
"418",1,"Aeorestes cinereus","2021-07-18"
"419",1,"Aeorestes cinereus","2021-06-10"
"420",1,"Aeorestes cinereus","2021-07-18"
"421",1,"Aeorestes cinereus","2021-06-20"
"422",1,"Aeorestes cinereus","2021-06-14"
"423",1,"Aeorestes cinereus","2021-06-14"
"424",1,"Aeorestes cinereus","2021-06-19"
"425",1,"Aeorestes cinereus","2021-07-25"
"426",1,"Aeorestes cinereus","2021-08-20"
"427",1,"Aeorestes cinereus","2021-09-14"
"428",1,"Aeorestes cinereus","2021-08-14"
