"id_acteur";"acteur_nom";"acteur_prenom";"id_film"
763;"Davison";"Bruce";708
782;"Gaines";"Latham";727
1299;"Taylor";"Steven (I)";1275
1594;"Smith";"Chadd";1573
1968;"Ghosthawk";"Tony";1946
2173;"Kramer";"Todd (I)";2155
2353;"Woollan";"Troy";2354
3595;"Langley";"Frank";3629
3629;"Butcher";"Paul";3663
4123;"de Lancie";"John";4149
4132;"Tallman";"Chris";4159
4502;"Peterson";"Alan C.";4549
4602;"Conkle";"James";4647
4781;"Ne-Yo";NA;4824
5440;"Baumel";"Shane";5473
5582;"Callan";"Geoff";5628
5626;"Korsch";"Conrad";3487
5633;"Baldwin";"Greg";5072
