"site_id","lat","time_start","time_finish","date_obs","time_obs","variable","valid_scientific_name","rank","vernacular_en","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:02:23","présence","Anatidae","family","Ducks","Canards","Animalia","Chordata","Aves","Anseriformes","Anatidae","NULL","NULL"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:00:01","présence","Vireo solitarius","species","Blue-headed vireo","Viréo à tête bleue","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo solitarius"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:01:10","présence","Vireo solitarius","species","Blue-headed vireo","Viréo à tête bleue","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo solitarius"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:01:55","présence","Dendroica caerulescens","species","Black-throated blue warbler","Paruline","Animalia","Chordata","Aves","Passeriformes","Parulidae","Dendroica","Dendroica caerulescens"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:00:05","présence","Dendroica virens","species","Black-throated green warbler","Paruline à gorge noire","Animalia","Chordata","Aves","Passeriformes","Parulidae","Dendroica","Dendroica virens"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:01:45","présence","Corvus corax","species","Common raven","Grand corbeau","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corax"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:00:17","présence","Geothlypis trichas","species","Common yellowthroat","Paruline masquée","Animalia","Chordata","Aves","Passeriformes","Parulidae","Geothlypis","Geothlypis trichas"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:00:35","présence","Geothlypis trichas","species","Common yellowthroat","Paruline masquée","Animalia","Chordata","Aves","Passeriformes","Parulidae","Geothlypis","Geothlypis trichas"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:00:06","présence","Regulus satrapa","species","Golden-crowned kinglet","Roitelet à couronne dorée","Animalia","Chordata","Aves","Passeriformes","Regulidae","Regulus","Regulus satrapa"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:00:01","présence","Catharus guttatus","species","Hermit thrush","Grive solitaire","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus guttatus"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:00:27","présence","Parula americana","species","Northern parula","Paruline à collier","Animalia","Chordata","Aves","Passeriformes","Parulidae","Parula","Parula americana"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:00:00","présence","Parkesia noveboracensis","species","Northern waterthrush","Paruline des ruisseaux","Animalia","Chordata","Aves","Passeriformes","Parulidae","Parkesia","Parkesia noveboracensis"
16,46.8707,"05:00:00","05:03:00","01/06/2017","05:00:45","présence","Seiurus aurocapilla","species","Ovenbird","Paruline couronnée","Animalia","Chordata","Aves","Passeriformes","Parulidae","Seiurus","Seiurus aurocapilla"
