"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"5961",12268,"BEAL","V","N","DHP1.mm.","325","2012-07-31",NA,120,220,"365,9605","-322,9607","159,3155","600,9685","695990,851476067","4997507,02869496",NA
"5962",12269,"ACSA","V","N","DHP1.mm.","101","2012-07-31",NA,120,220,"367,7728","-324,8857","161,0855","602,7385","695988,599505848","4997505,64831776",NA
"5963",12270,"BEAL","V","N","DHP1.mm.","291","2012-07-31",NA,120,220,"364,6546","-324,5221","159,5275","601,1805","695991,700843018","4997505,18097489",NA
"5964",12271,"BEAL","M","N","DHP1.mm.","499","2012-07-31",NA,120,220,"361,1086","-324,0194","157,6315","599,2845","695995,251066712","4997504,73552014",NA
"5965",12272,"BEAL","V","N","DHP1.mm.","384","2012-07-31",NA,120,220,"362,5708","-316,53","153,8605","595,5135","695995,805849194","4997512,33887607",NA
"5966",12273,"BEAL","V","N","DHP1.mm.","629","2012-07-31",NA,120,220,"366,4569","-311,3631","154,9925","596,6455","695993,414815845","4997518,33907487",NA
"5967",12274,"ACSA","V","N","DHP1.mm.","362","2012-07-31",NA,120,220,"360,5767","-313,6744","152,8355","594,4885","695998,477158284","4997514,56867596",NA
"5968",12275,"BEAL","V","N","DHP1.mm.","520","2012-07-31",NA,120,220,"352,889","-320,5853","157,0745","598,7275","696004,075540712","4997505,89014516",NA
"5969",12276,"ACSA","V","N","DHP1.mm.","459","2012-07-31",NA,120,220,"356,1587","-330,5249","160,7015","602,3545","695998,31651766","4997497,16588144",NA
"5970",12277,"ACSA","V","N","DHP1.mm.","204","2012-07-31",NA,120,220,"349,5743","-330,7025","162,1615","603,8145","696004,617351632","4997495,26768596",NA
