"site_code","st_y"
"135_104_H01","46.8088"
"135_104_F01","46.7941"
"148_101_F01","45.4599"
"137_111_H01","47.2572"
"148_101_H01","45.4475"
"137_111_F01","47.3074"
"141_108_F01","46.6722"
"141_108_H01","46.7822"
"132_116_F01","48.2163"
"137_107_H01","46.8766"
"137_107_H02","46.8684"
"139_111_H01","47.1199"
"139_103_H01","46.3908"
"142_111_H02","46.8707"
"142_111_H01","46.8893"
"145_102_H01","45.9644"
"145_102_H02","45.842"
"145_102_F01","45.859"
"142_111_F01","46.7112"
"139_103_F01","46.2502"
"139_111_F01","47.1785"
"136_116_T01","47.6666"
"136_116_H01","47.6638"
"48_181_T01","62.2018"
"80_175_T01","58.6462"
"132_116_H01","48.2158"
"137_110_F01","47.28027"
"137_110_H01","47.11482"
"137_110_H02","47.45812"
"131_120_F01","48.58128"
"131_120_F02","48.60374"
"126_116_F01","48.70548"
"126_116_H01","48.69485"
"126_116_H02","48.75369"
"136_95_F01","45.94943"
"136_95_H01","45.99009"
"131_120_H01","48.57194"
"145_141_F01","48.93663"
"145_141_H01","49.09023"
"139_87_F01","45.03285"
"124_86_F01","46.0535"
"124_86_H02","45.97675"
"111_115_F01","49.83417"
"111_115_H01","49.843"
"149_142_F01","48.98747"
"122_92_F01","46.77032"
"128_89_F01","45.98349"
"146_133_H02","48.4878"
"122_92_H02","46.7897"
"142_91_H02","45.0293"
"128_89_H02","45.9669"
"129_94_H02","46.4628"
"137_144_H01","50.1999"
"73_137_H02","55.2859"
"146_133_H01","48.4883"
"129_123_H01","49.0058"
"149_142_H01","48.9331"
"138_93_H01","45.5438"
"122_92_H01","46.8771"
"105_101_H01","48.8312"
"139_87_H02","45.02227"
"137_107_F01","46.9580212"
"139_103_H02","46.659"
"128_89_H01","46.0009"
"129_94_H01","46.4171"
"130_87_H01","45.592"
"99_88_H01","48.1079"
"94_192_H01","58.6128"
"86_180_H01","58.0519"
"149_142_H02","48.9416"
"136_114_F01","47.6532"
"136_114_H01","47.6028"
"94_192_T01","58.6102"
"80_186_T01","58.0536"
"86_180_T02","58.2094"
"137_144_F01","50.2091"
"129_123_F01","49.1182"
"146_133_F01","48.3614"
"105_101_F01","49.1025"
"130_86_F01","45.6009"
"129_94_F01","46.4001"
"142_91_F01","45.0221"
"99_88_F01","48.1453"
"122_94_L01","46.7327"
"123_89_L01","46.45794"
"132_116_L01","48.23268"
"122_84_L01","46.05067"
"124_86_L01","46.18382"
"127_99_L01","47.086805"
"143_122_L01","47.60295"
"136_114_L01","47.69848"
"137_110_L01","47.36381"
"145_141_L01","49.09092"
"111_115_L01","49.90909"
"131_120_L01","48.58609"
"146_133_L01","48.47914"
"137_144_L01","50.27559"
"149_142_L02","48.95019"
"129_94_L01","46.42236"
"122_92_L01","46.83659"
"142_91_L01","45.09664"
"105_101_L01","49.06854"
"128_89_L01","46.13071"
"138_93_L01","45.54815"
"57_182_L01","61.34743"
"115_120_L01","49.99725"
"148_101_L01","45.52587"
"128_100_L01","47.08049"
"102_90_F01","48.161222"
"138_93_F01","45.53705"
"102_90_H01","48.09452"
"108_119_F01","50.566885"
"125_81_F01","45.498803"
"128_120_F01","48.671302"
"154_138_F01","48.13669"
"57_156_T01","58.49218"
"57_182_T01","61.31273"
"73_137_T01","55.28426"
"97_90_F01","48.4366"
"141_124_F01","48.133559"
"125_81_H01","45.48906"
"125_81_H02","45.491864"
"128_120_H01","48.74358"
"141_124_H01","48.06593"
"108_119_H01","50.47872"
"73_137_F02","55.29361"
"86_180_T01","58.05353"
"154_138_H01","48.174275"
"97_90_H01","48.51008"
"97_90_H02","48.609284"
"122_94_F01","46.968518"
"122_94_H01","46.85823868"
"129_123_L01","49.99685"
"132_116_F02","48.2151349"
"132_116_H02","48.19969468"
"132_116_H03","48.20135447"
"136_95_R01","46.15205"
"137_107_L01","46.8931"
"137_111_L01","47.27253"
"139_87_H03","45.00677443"
"139_87_H04","45.004555"
"139_87_H05","45.00703228"
"141_108_H03","46.7866373"
"141_108_H04","46.78615373"
"141_108_H05","46.790563"
"149_142_L01","48.95019"
"48_181_H01","62.18256"
"73_137_H01","55.22654"
"73_137_R01","55.37452"
"73_137_T04","55.2846963325522"
"86_180_H02","58.34586"
"86_180_H03","58.29032"
"86_180_R01","58.044007"
"86_180_T03","58.33639"
"122_84_F01","46.115713"
"122_84_H01","46.13094"
"90_189_H01","58.73103"
"130_86_H01","45.59203"
"102_90_L01","48.090693"
"108_119_L01","50.14456"
"128_120_L01","48.930087"
"154_138_L01","48.23148"
"57_156_H01","58.51624"
"57_156_H03","58.49555556"
"57_156_T03","58.49555"
"97_90_L01","48.23671"
"100_92_F01","48.50198892"
"100_92_H01","48.49068"
"103_85_F01","47.5465243"
"135_104_L01","46.88363"
"141_108_L01","46.78032"
"57_156_H02","58.49393"
"90_189_H02","58.73315"
"90_189_T02","58.68428"
"73_137_H03","55.34222"
"73_137_H04","55.306"
"100_92_R01","48.45214"
"122_92_R01","46.843"
"122_94_R01","47.09834"
"128_89_R01","46.141502"
"129_123_R01","48.98956"
"137_144_R01","50.10946"
"142_91_R01","45.04889"
"146_133_R01","48.40902"
"149_142_R01","48.95903"
"99_88_R01","48.089332"
"108_119_R01","50.385629"
"128_120_R01","48.98183"
"141_124_R01","48.088"
"154_138_R01","48.104495"
"103_85_H01","47.40044993"
"103_85_L01","47.53515"
"109_95_L01","48.06385"
"113_113_F01","49.566992"
"113_113_H01","49.5474"
"113_113_L01","49.54948"
"122_111_F01","48.552848"
"122_111_H01","48.65568"
"124_94_L01","46.73271"
"125_106_L01","47.97887"
"126_92_L01","46.302277"
"127_83_L01","45.583987"
"129_93_F01","46.30184"
"129_93_H01","46.30247"
"129_93_L01","46.28811"
"133_101_F01","46.761978"
"133_101_H02","46.76148"
"133_101_L01","46.73725461"
"135_101_F01","46.384163"
"135_101_H05","46.542937"
"135_101_L01","46.63798"
"137_101_F01","46.423509"
"137_101_H01","46.41974681"
"137_101_H05","46.428927"
"137_87_H03","45.12782661"
"137_87_H04","45.12930423"
"137_87_H05","45.13582"
"137_87_H06","45.1372"
"137_92_F01","45.62231"
"138_105_H01","46.65899"
"142_120_F01","47.702454"
"142_120_H01","47.751"
"142_120_L01","47.45528"
"143_115_L01","47.16623"
"144_108_L01","46.38861"
"144_96_L01","45.42634"
"145_138_F01","48.983888"
"145_138_H02","48.94883"
"149_133_F01","48.113776"
"149_133_H01","48.0351"
"151_164_F01","50.4274881"
"151_164_H01","50.2858908"
"151_164_L01","50.38238"
"154_155_F01","49.568023"
"154_155_H01","49.52504026"
"70_149_H01","56.54426"
"70_149_T01","56.54599"
"140_126_H02","48.30879"
"140_107_H01","46.67478521"
"140_107_H03","46.67219281"
"140_107_H04","46.67460616"
"140_126_F01","48.33428"
"149_133_L01","48.04668"
"78_181_H01","59.29283"
"78_181_T01","59.31175"
"133_101_R01","46.69751"
"113_113_R01","49.55438"
"122_111_R01","48.630107"
"129_93_R01","46.37725"
"142_120_R01","47.71045"
"149_133_R01","48.07496"
"154_155_R01","49.55142"
"137_92_H02","45.61047"
"140_107_H05","46.678538"
"90_189_T01","58.725"
"135_101_H02","46.54212072"
"145_141_R01","49.16511"
"141_108_R01","46.85767"
"148_101_R01","45.62763"
"139_103_R01","46.51203"
"145_102_R01","45.78054"
"124_86_R01","46.05419"
"135_104_R01","46.88228"
"137_107_R01","46.80408"
"137_110_R01","47.27054"
"139_111_R01","47.18283"
"132_116_R01","48.2925"
"131_120_R01","48.5321"
"138_105_R01","46.64375"
"139_103_R02","46.41901"
"103_87_L01","47.80498"
"124_86_H01","45.91049"
"112_89_L01","47.2531"
"100_92_L01","48.56388"
"139_87_H01","45.00642"
"57_156_T02","58.4907"
"73_137_T03","55.33972"
"122_111_L01","48.52598"
"128_100_F01","47.0331328"
"128_100_H01","47.0261241"
"139_103_F02","46.24822418"
"143_122_F01","47.80031"
"143_122_H01","47.75404457"
"143_122_L02","47.730855"
"109_95_F01","48.0175898"
"109_95_H01","48.0165906"
"126_92_F01","46.60368091"
"126_92_H01","46.4721437"
"133_101_H01","46.760897"
"144_96_F01","45.3519866"
"144_96_H01","45.35505711"
"144_96_H02","45.34783113"
"145_138_H01","48.9036249"
"106_80_F01","46.84107745"
"106_80_H01","46.89480289"
"106_80_R01","46.83683"
"107_115_F01","50.1512252"
"107_115_H01","50.2605181"
"142_111_R01","46.86717"
"139_111_L01","47.1261"
"142_111_L01","46.77805802"
"145_102_L01","45.79156072"
"106_80_L01","46.78628786"
"107_115_L01","50.43078994"
"126_92_R01","46.52934"
"143_122_R01","47.69395"
"128_100_R01","47.097195"
"107_115_R01","50.1163"
"117_82_F01","46.1502433"
"117_82_H01","46.1445183"
"117_82_R01","46.249443"
"118_130_F01","50.6746478"
"118_130_H01","50.6998355"
"118_130_L01","50.627098"
"118_130_R01","50.571109"
"131_146_F01","50.9249856"
"131_146_H01","50.9203696"
"131_146_R01","50.96016"
"133_123_F01","48.746347"
"133_123_H01","48.7167566"
"135_119_F01","48.288864"
"135_119_H01","48.25996"
"137_131_F01","49.04579"
"137_131_H01","49.070696"
"141_94_F01","45.43817296"
"141_94_H01","45.43111238"
"144_129_F01","48.2034459"
"144_129_H01","48.2377264"
"144_129_R01","48.29929"
"148_144_F01","49.2255659"
"148_144_H01","49.141137"
"148_144_R01","49.10845"
"148_96_F01","45.07731"
"148_96_H01","45.0758843"
"94_168_F01","56.64685986"
"94_168_H01","56.65020641"
"117_82_L01","46.3812"
"131_146_L01","50.92868"
"133_123_L01","48.754776"
"135_119_L01","48.299249"
"141_94_L01","45.42109764"
"144_129_L01","48.22022129"
"148_144_L01","49.137423"
"148_96_L01","45.03024601"
"105_101_R01","49.01888"
"137_111_R01","47.27343"
"122_84_R01","45.94911"
"145_138_R01","48.889"
"148_96_R01","45.049971"
"141_94_R01","45.42147"
"135_119_R01","48.2877"
"133_123_R01","48.579148"
"139_107_H03","46.73117"
"137_131_H02","49.0631808"
