"observed_scientific_name","year_obs","day_obs","time_obs","dwc_event_date","obs_variable","obs_unit","obs_value","lat","lon","original_source","creator","titre","publisher","intellectual_rights","license","owner"
"Speyeria cybele",1883,7,"","1883-07-09","presence",NA,1,45.5017,-73.5673,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polites mystic",1883,7,"","1883-07-02","presence",NA,1,45.564,-73.179,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Euphyes vestris",1883,7,"","1883-07-09","presence",NA,1,45.5017,-73.5673,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Epargyreus clarus",1883,7,"","1883-07-09","presence",NA,1,45.5017,-73.5673,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polites mystic",1883,7,"00:00:00","1883-07-02T00:00:00","occurrence",NA,1,45.564042,-73.179013,"gbif","GBIF","eButterfly Surveys","Vermont Center for Ecostudies","Vermont Center for Ecostudies","cc by nc 4.0","Vermont Center for Ecostudies"
"Speyeria cybele",1883,7,"00:00:00","1883-07-09T00:00:00","occurrence",NA,1,45.501689,-73.567256,"gbif","GBIF","eButterfly Surveys","Vermont Center for Ecostudies","Vermont Center for Ecostudies","cc by nc 4.0","Vermont Center for Ecostudies"
"Epargyreus clarus",1883,7,"00:00:00","1883-07-09T00:00:00","occurrence",NA,1,45.501689,-73.567256,"gbif","GBIF","eButterfly Surveys","Vermont Center for Ecostudies","Vermont Center for Ecostudies","cc by nc 4.0","Vermont Center for Ecostudies"
"Colias philodice",1883,9,"00:00:00","1883-09-09T00:00:00","occurrence",NA,1,45.4333,-75.9,"gbif","GBIF","Royal British Columbia Museum Entomology Collection","Canadian Biodiversity Information Facility","Canadian Biodiversity Information Facility","cc by 4.0","Canadian Biodiversity Information Facility"
"Epargyreus clarus",1883,7,"00:00:00","1883-07-09T00:00:00","occurrence",NA,1,45.5,-73.5833,"gbif","GBIF","Lyman Entomological Museum","Canadian Biodiversity Information Facility","Canadian Biodiversity Information Facility","cc0 1.0","Canadian Biodiversity Information Facility"
"Speyeria cybele",1883,7,"00:00:00","1883-07-09T00:00:00","occurrence",NA,1,45.5,-73.5833,"gbif","GBIF","Lyman Entomological Museum","Canadian Biodiversity Information Facility","Canadian Biodiversity Information Facility","cc0 1.0","Canadian Biodiversity Information Facility"
"Euphyes vestris",1883,7,"00:00:00","1883-07-09T00:00:00","occurrence",NA,1,45.5,-73.5833,"gbif","GBIF","Lyman Entomological Museum","Canadian Biodiversity Information Facility","Canadian Biodiversity Information Facility","cc0 1.0","Canadian Biodiversity Information Facility"
"Euphyes vestris",1883,7,"00:00:00","1883-07-09T00:00:00","occurrence",NA,1,45.501689,-73.567256,"gbif","GBIF","eButterfly Surveys","Vermont Center for Ecostudies","Vermont Center for Ecostudies","cc by nc 4.0","Vermont Center for Ecostudies"
"Eurytides marcellus",1883,4,"","1883-04-27","presence",NA,1,38.2076,-81.4593,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Limenitis arthemis astyanax",1883,6,"","1883-06-12","presence",NA,1,42.2565,-71.1241,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Poanes hobomok",1883,6,"","1883-06-12","presence",NA,1,42.2565,-71.1241,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
