"observed_scientific_name","year_obs","day_obs","time_obs","dwc_event_date","obs_variable","obs_unit","obs_value","lat","lon","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Colias philodice",1975,8,"12:00:00","1975-08-10T12:00:00","presence",NA,1,46.8564,-71.3483,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Vanessa virginiensis",1975,6,"12:00:00","1975-06-10T12:00:00","presence",NA,1,46.2338,-73.5298,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Ascia monuste",1975,12,"12:00:00","1975-12-05T12:00:00","presence",NA,1,26.1305,-81.7723,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Phyciodes cocyta",1975,6,"","1975-06-13","presence",NA,1,45.345,-71.7501,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Satyrium acadica",1975,7,"","1975-07-01","presence",NA,1,45.9931,-73.2985,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polites peckius",1975,7,"","1975-07-02","presence",NA,1,45.9587,-73.2197,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Celastrina lucia",1975,7,"","1975-07-02","presence",NA,1,45.9587,-73.2197,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Lycaena epixanthe",1975,7,"","1975-07-02","presence",NA,1,45.9587,-73.2197,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Satyrium liparops",1975,7,"","1975-07-02","presence",NA,1,45.9587,-73.2197,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Satyrium acadica",1975,7,"","1975-07-02","presence",NA,1,45.9931,-73.2985,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polites peckius",1975,7,"","1975-07-03","presence",NA,1,45.3664,-73.9846,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Satyrium acadica",1975,7,"","1975-07-03","presence",NA,1,45.3664,-73.9846,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Satyrium calanus",1975,7,"","1975-07-02","presence",NA,1,45.9931,-73.2985,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Satyrium calanus",1975,7,"","1975-07-03","presence",NA,1,45.3664,-73.9846,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Satyrium caryaevorus",1975,7,"","1975-07-03","presence",NA,1,45.3664,-73.9846,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
