"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Pieris rapae","Pieris rapae","species","Piéride de la rave","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris rapae"
"Polites peckius","Polites peckius","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Polites","Polites coras"
"Poanes zabulon","Poanes zabulon","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Lon","Poanes zabulon"
"Colias pelidne","Colias pelidne","species","Coliade commun du Nord","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias pelidne"
"Wallengrenia egeremet","Wallengrenia egeremet","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Wallengrenia","Wallengrenia egeremet"
"Boloria eunomia","Boloria eunomia","species","Boloria des tourbières","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria eunomia"
"Phyciodes","Phyciodes","genus","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Phyciodes",""
"Papilio brevicauda","Papilio brevicauda","species","Papillon queue-courte","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio brevicauda"
"Lycaena phlaeas","Lycaena phlaeas","species","Bronzé","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena phlaeas"
"Polygonia interrogationis","Polygonia interrogationis","species","Polygone à queue violacée","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Polygonia","Polygonia interrogationis"
"Aglais milberti","Aglais milberti","species","Petite vanesse","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais","Aglais milberti"
"Glaucopsyche lygdamus","Glaucopsyche lygdamus","species","Bleu argenté","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Glaucopsyche","Glaucopsyche lygdamus"
"Limenitis archippus","Limenitis archippus","species","Vice-roi","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis archippus"
"Colias philodice","Colias philodice","species","Coliade du trèfle","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias philodice"
"Cupido amyntula","Cupido amyntula","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Cupido","Elkalyce amyntula"
"Plebejus idas","Plebejus idas","species","Moyen argus","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Lycaeides idas"
"Plebejus saepiolus","Plebejus saepiolus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Plebejus saepiolus"
"Speyeria aphrodite","Speyeria aphrodite","species","Argynne aphrodite","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Speyeria","Speyeria aphrodite"
"Coenonympha inornata","Coenonympha tullia inornata","subspecies","Satyre fauve","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Coenonympha","Coenonympha inornata"
"Erynnis icelus","Erynnis scudderi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis icelus"
"Poanes hobomok","Poanes hobomok","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Lon","Poanes hobomok"
"Papilio canadensis","Papilio canadensis","species","Papillon tigré du Canada","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio canadensis"
"Satyrium titus","Satyrium titus","species","Porte-queue abrogé","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Harkenclenus","Satyrium titus"
"Thorybes pylades","Thorybes pylades","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Thorybes","Thorybes pylades"
"Carterocephalus palaemon","Carterocephalus palaemon","species","Echiquier","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Carterocephalus","Carterocephalus palaemon"
"Thymelicus lineola","Thymelicus lineola","species","Hespérie des graminées","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Thymelicus","Thymelicus lineola"
"Polites themistocles","Polites themistocles","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Polites","Polites themistocles"
"Callophrys niphon","Callophrys niphon","species","Lutin des pins","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Incisalia","Callophrys niphon"
"Limenitis arthemis","Limenitis arthemis","species","Amiral","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis arthemis"
"Colias eurytheme","Colias eurytheme","species","Coliade de la luzerne","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias eurytheme"
"Polygonia progne","Polygonia progne","species","Polygone gris","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Polygonia","Polygonia progne"
"Polyommatus icarus","Polyommatus icarus","species","Argus bleu","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Polyommatus","Polyommatus icarus"
"Vanessa virginiensis","Vanessa virginiensis","species","Vanesse virginiensis","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa virginiensis"
"Boloria bellona","Boloria bellona","species","Boloria des prés","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Clossiana","Boloria bellona"
"Phyciodes cocyta","Phyciodes cocyta","species","Croissant nordique","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Phyciodes","Phyciodes tharos"
"Glaucopsyche piasus","Glaucopsyche piasus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Glaucopsyche","Glaucopsyche piasus"
"Hesperia leonardus","Hesperia leonardus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia leonardus"
