"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Arenaria interpres","[1992,1993]","Number of individuals","[558,289]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Numenius phaeopus","[1992,1993]","Number of individuals","[574,564]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Arenaria interpres","[1992,1993]","Number of individuals","[558,289]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Calidris canutus","[1992,1993]","Number of individuals","[1592,1156]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Calidris alba","[1992,1993]","Number of individuals","[5523,8487]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Pluvialis squatarola","[1992,1993]","Number of individuals","[467,503]","MULTIPOINT((-75.53 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Calidris canutus","[1992,1993]","Number of individuals","[1592,1156]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Calidris alba","[1992,1993]","Number of individuals","[5523,8487]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Pluvialis squatarola","[1992,1993]","Number of individuals","[467,503]","MULTIPOINT((-75.53 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Numenius phaeopus","[1992,1993]","Number of individuals","[574,564]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Arenaria interpres","[1992,1993]","Number of individuals","[558,289]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Calidris canutus","[1992,1993]","Number of individuals","[1592,1156]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Calidris alba","[1992,1993]","Number of individuals","[5523,8487]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Pluvialis squatarola","[1992,1993]","Number of individuals","[467,503]","MULTIPOINT((-75.53 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Numenius phaeopus","[1992,1993]","Number of individuals","[574,564]","MULTIPOINT((-75.363333 35.224444))","Living planet index database",NA,"Dinsmore, S. J., J. A. Collazo, et al. (1998). ""Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks."" Wilson Bulletin 110(2): 171-181.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
