"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Cryptacanthodes maculatus","Cryptacanthodes maculatus","species","Terrassier tacheté","Animalia","Chordata","Teleostei","Perciformes","Cryptacanthodidae","Cryptacanthodes","Cryptacanthodes maculatus"
"Lumpenus lampretaeformis","Lumpenus lampretaeformis","species","Lompénie-serpent","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis"
"Osmerus mordax","Osmerus mordax","species","Éperlan arc-en-ciel","Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax"
"Apeltes quadracus","Apeltes quadracus","species","Épinoche à quatre épines","Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Apeltes","Apeltes quadracus"
"Lithobates palustris","Lithobates palustris","species","Grenouille des marais","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates palustris"
"Notophthalmus viridescens","Notophthalmus viridescens","species","Triton vert","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Notophthalmus","Notophthalmus viridescens"
"Cygnus columbianus","Cygnus columbianus","species","Cygne siffleur","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus columbianus"
"Sterna dougallii dougallii","Sterna dougallii dougallii","subspecies","","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii"
"Sterna dougallii","Sterna dougallii","species","Sterne de dougall","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii"
"Sterna hirundo","Sterna hirundo","species","Sterne pierregarin","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo"
"Sterna hirundo hirundo","Sterna hirundo hirundo","subspecies","","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo"
"Sterna paradisaea","Sterna paradisaea","species","Sterne arctique","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna paradisaea"
"Eumesogrammus praecisus","Eumesogrammus praecisus","species","Quatre-lignes Atlantique","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Eumesogrammus","Eumesogrammus praecisus"
"Acipenser oxyrinchus","Acipenser","genus","","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus"
"Acipenser oxyrinchus oxyrinchus","Acipenser oxyrinchus","species","Esturgeon noir","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus"
"Liopsetta putnami","Liopsetta putnami","species","Plie lisse","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Liopsetta","Pleuronectes putnami"
"Alopias vulpinus","Alopias vulpinus","species","Renard marin","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias vulpinus"
"Lithobates pipiens","Lithobates pipiens","species","Grenouille léopard","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates pipiens"
"Lithobates sylvaticus","Lithobates sylvaticus","species","Grenouille des bois","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates sylvaticus"
"Pseudacris crucifer","Pseudacris crucifer","species","Rainette crucifère","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris crucifer"
"Dryophytes versicolor","Dryophytes versicolor","species","","Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes","Dryophytes versicolor"
"Anaxyrus americanus","Anaxyrus americanus","species","Crapaud d'amérique","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus americanus"
"Lithobates clamitans","Lithobates clamitans","species","","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates clamitans"
"Lithobates catesbeianus","Lithobates catesbeianus","species","Grenouille-taureau","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus"
"Delphinapterus leucas","Delphinapterus leucas","species","Béluga","Animalia","Chordata","Mammalia","Cetacea","Monodontidae","Delphinapterus","Delphinapterus leucas"
"Acipenser brevirostrum","Acipenser","genus","Esturgeon à museau court","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser brevirostrum"
"Acipenser fulvescens","Acipenser fulvescens","species","Esturgeon jaune","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser fulvescens"
"Falco peregrinus anatum","Falco peregrinus anatum","subspecies","","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus"
"Falco peregrinus","Falco peregrinus","species","Faucon pèlerin","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus"
